BiochemicalReaction21	apoA-I binds to CUBN:AMN	Protein2	Complex21	
BiochemicalReaction21	apoA-I binds to CUBN:AMN	Complex20	Complex21	
BiochemicalReaction3	ABCA1-mediated transport of intracellular cholesterol to the cell surface	SmallMolecule2	SmallMolecule5	
BiochemicalReaction3	ABCA1-mediated transport of intracellular cholesterol to the cell surface	SmallMolecule3	SmallMolecule5	
BiochemicalReaction3	ABCA1-mediated transport of intracellular cholesterol to the cell surface	SmallMolecule4	SmallMolecule5	
BiochemicalReaction3	ABCA1-mediated transport of intracellular cholesterol to the cell surface	SmallMolecule4	SmallMolecule6	
BiochemicalReaction3	ABCA1-mediated transport of intracellular cholesterol to the cell surface	SmallMolecule3	SmallMolecule6	
BiochemicalReaction3	ABCA1-mediated transport of intracellular cholesterol to the cell surface	SmallMolecule2	SmallMolecule6	
BiochemicalReaction3	ABCA1-mediated transport of intracellular cholesterol to the cell surface	SmallMolecule4	SmallMolecule7	
BiochemicalReaction3	ABCA1-mediated transport of intracellular cholesterol to the cell surface	SmallMolecule3	SmallMolecule7	
BiochemicalReaction3	ABCA1-mediated transport of intracellular cholesterol to the cell surface	SmallMolecule2	SmallMolecule7	
BiochemicalReaction4	ABCA1-mediated transport of intracellular phospholipid to the cell surface	SmallMolecule8	SmallMolecule5	
BiochemicalReaction4	ABCA1-mediated transport of intracellular phospholipid to the cell surface	SmallMolecule2	SmallMolecule5	
BiochemicalReaction4	ABCA1-mediated transport of intracellular phospholipid to the cell surface	SmallMolecule3	SmallMolecule5	
BiochemicalReaction4	ABCA1-mediated transport of intracellular phospholipid to the cell surface	SmallMolecule3	SmallMolecule9	
BiochemicalReaction4	ABCA1-mediated transport of intracellular phospholipid to the cell surface	SmallMolecule2	SmallMolecule9	
BiochemicalReaction4	ABCA1-mediated transport of intracellular phospholipid to the cell surface	SmallMolecule8	SmallMolecule9	
BiochemicalReaction4	ABCA1-mediated transport of intracellular phospholipid to the cell surface	SmallMolecule3	SmallMolecule6	
BiochemicalReaction4	ABCA1-mediated transport of intracellular phospholipid to the cell surface	SmallMolecule2	SmallMolecule6	
BiochemicalReaction4	ABCA1-mediated transport of intracellular phospholipid to the cell surface	SmallMolecule8	SmallMolecule6	
BiochemicalReaction5	Apolipoprotein A-I binds membrane-associated cholesterol and phospholipid to form a discoidal HDL particle	SmallMolecule9	Complex5	
BiochemicalReaction5	Apolipoprotein A-I binds membrane-associated cholesterol and phospholipid to form a discoidal HDL particle	Protein2	Complex5	
BiochemicalReaction5	Apolipoprotein A-I binds membrane-associated cholesterol and phospholipid to form a discoidal HDL particle	SmallMolecule7	Complex5	
BiochemicalReaction6	pre-beta HDL binds membrane-associated cholesterol and phospholipid to form a discoidal HDL particle	SmallMolecule9	Complex5	
BiochemicalReaction6	pre-beta HDL binds membrane-associated cholesterol and phospholipid to form a discoidal HDL particle	Complex6	Complex5	
BiochemicalReaction6	pre-beta HDL binds membrane-associated cholesterol and phospholipid to form a discoidal HDL particle	SmallMolecule7	Complex5	
BiochemicalReaction7	ABCG1-mediated transport of intracellular cholesterol to the cell surface	SmallMolecule2	SmallMolecule5	
BiochemicalReaction7	ABCG1-mediated transport of intracellular cholesterol to the cell surface	SmallMolecule3	SmallMolecule5	
BiochemicalReaction7	ABCG1-mediated transport of intracellular cholesterol to the cell surface	SmallMolecule4	SmallMolecule5	
BiochemicalReaction7	ABCG1-mediated transport of intracellular cholesterol to the cell surface	SmallMolecule4	SmallMolecule6	
BiochemicalReaction7	ABCG1-mediated transport of intracellular cholesterol to the cell surface	SmallMolecule3	SmallMolecule6	
BiochemicalReaction7	ABCG1-mediated transport of intracellular cholesterol to the cell surface	SmallMolecule2	SmallMolecule6	
BiochemicalReaction7	ABCG1-mediated transport of intracellular cholesterol to the cell surface	SmallMolecule4	SmallMolecule7	
BiochemicalReaction7	ABCG1-mediated transport of intracellular cholesterol to the cell surface	SmallMolecule3	SmallMolecule7	
BiochemicalReaction7	ABCG1-mediated transport of intracellular cholesterol to the cell surface	SmallMolecule2	SmallMolecule7	
BiochemicalReaction8	Discoidal HDL binds membrane-associated free cholesterol	Complex5	Complex8	
BiochemicalReaction8	Discoidal HDL binds membrane-associated free cholesterol	SmallMolecule7	Complex8	
BiochemicalReaction9	LCAT + discoidal HDL <=> LCAT:discoidal HDL complex	Complex5	Complex9	
BiochemicalReaction9	LCAT + discoidal HDL <=> LCAT:discoidal HDL complex	Protein8	Complex9	
Degradation1	Endocytosis and degradation of apoA-I	Complex21	NA	
