Complex1	SEMA4D dimer	plasma membrane	Reactome DB_ID: 373690	Protein1	
Complex39	PAK homodimer	cytosol	Reactome DB_ID: 399856	Protein60	
Complex4	pPlexin-B1:Met	plasma membrane	Reactome DB_ID: 419623	Protein4	
Complex4	pPlexin-B1:Met	plasma membrane	Reactome DB_ID: 419623	Protein3	
Complex40	Sema3A:Nrp-1:PlexinA:Rac1-GTP:PAK	plasma membrane	Reactome DB_ID: 399876	Protein60	
Complex40	Sema3A:Nrp-1:PlexinA:Rac1-GTP:PAK	plasma membrane	Reactome DB_ID: 399876	Complex35	
Complex41	Sema3A:Nrp-1:PlexinA:Rac1-GTP:pPAK	plasma membrane	Reactome DB_ID: 399874	Protein63	
Complex41	Sema3A:Nrp-1:PlexinA:Rac1-GTP:pPAK	plasma membrane	Reactome DB_ID: 399874	Complex35	
Complex42	pLIMK dimer:HSP-90	cytosol	Reactome DB_ID: 419632	Protein66	
Complex42	pLIMK dimer:HSP-90	cytosol	Reactome DB_ID: 419632	Protein41	
Complex43	Active LIMK1	cytosol	Reactome DB_ID: 419630	Protein69	
Complex44	pCofilin: Active LIMK-1	cytosol	Reactome DB_ID: 399878	Protein71	
Complex44	pCofilin: Active LIMK-1	cytosol	Reactome DB_ID: 399878	Complex43	
Complex45	NRP1:PlexinA1-4:FYN	plasma membrane	Reactome DB_ID: 399846	Protein43	
Complex45	NRP1:PlexinA1-4:FYN	plasma membrane	Reactome DB_ID: 399846	Complex46	
Complex46	Plexin-A1-4:FYN	plasma membrane	Reactome DB_ID: 399847	Protein45	
Complex46	Plexin-A1-4:FYN	plasma membrane	Reactome DB_ID: 399847	Protein46	
Complex47	Sema3A:Nrp-1:PlexinA:Fyn	plasma membrane	Reactome DB_ID: 399869	Complex28	
Complex47	Sema3A:Nrp-1:PlexinA:Fyn	plasma membrane	Reactome DB_ID: 399869	Complex45	
Complex48	Cdk5:p35	cytosol	Reactome DB_ID: 421107	Protein72	
Complex48	Cdk5:p35	cytosol	Reactome DB_ID: 421107	Protein73	
Complex49	Sema3A:Nrp-1:PlexinA:Fyn:pCdk5	plasma membrane	Reactome DB_ID: 399868	Complex28	
Complex49	Sema3A:Nrp-1:PlexinA:Fyn:pCdk5	plasma membrane	Reactome DB_ID: 399868	Complex50	
Complex5	RAC1-GTP	cytosol	Reactome DB_ID: 442641	SmallMolecule3	
Complex5	RAC1-GTP	cytosol	Reactome DB_ID: 442641	Protein5	
Complex50	NRP1:PlexinA1-4:FYN:pCdk5:p53	plasma membrane	Reactome DB_ID: 399845	Protein43	
Complex50	NRP1:PlexinA1-4:FYN:pCdk5:p53	plasma membrane	Reactome DB_ID: 399845	Complex51	
Complex51	PlexinA1-4:FYN:pCdk5:p53	plasma membrane	Reactome DB_ID: 399854	Complex52	
Complex51	PlexinA1-4:FYN:pCdk5:p53	plasma membrane	Reactome DB_ID: 399854	Protein46	
Complex52	Fyn:pCdk5:p53	cytosol	Reactome DB_ID: 399838	Complex53	
Complex52	Fyn:pCdk5:p53	cytosol	Reactome DB_ID: 399838	Protein45	
Complex53	pCdk5:p35	cytosol	Reactome DB_ID: 421098	Protein73	
Complex53	pCdk5:p35	cytosol	Reactome DB_ID: 421098	Protein74	
Complex54	CRMP's tetramers	cytosol	Reactome DB_ID: 399843	Protein75	
Complex55	Sema3A:Nrp-1:PlexinA:Fyn:Cdk5:pCRMP's	plasma membrane	Reactome DB_ID: 399867	Complex56	
Complex55	Sema3A:Nrp-1:PlexinA:Fyn:Cdk5:pCRMP's	plasma membrane	Reactome DB_ID: 399867	Complex28	
Complex56	NRP1:PlexinA1-4:FYN:Cdk5:p53:p-CRMP tetramers	plasma membrane	Reactome DB_ID: 399855	Protein43	
Complex56	NRP1:PlexinA1-4:FYN:Cdk5:p53:p-CRMP tetramers	plasma membrane	Reactome DB_ID: 399855	Complex57	
Complex57	PlexinA1-4:FYN:Cdk5:p53:p-CRMP tetramers	plasma membrane	Reactome DB_ID: 399852	Complex52	
Complex57	PlexinA1-4:FYN:Cdk5:p53:p-CRMP tetramers	plasma membrane	Reactome DB_ID: 399852	Protein46	
Complex57	PlexinA1-4:FYN:Cdk5:p53:p-CRMP tetramers	plasma membrane	Reactome DB_ID: 399852	Complex58	
Complex58	p-CRMP tetramers	cytosol	Reactome DB_ID: 399850	Protein81	
Complex59	Sema3A:Nrp-1:PlexinA:Fyn:Cdk5:pCRMP's	plasma membrane	Reactome DB_ID: 399870	Complex28	
Complex59	Sema3A:Nrp-1:PlexinA:Fyn:Cdk5:pCRMP's	plasma membrane	Reactome DB_ID: 399870	Complex60	
Complex6	Sema4D:pPlexin-B1:Met:RAC1-GTP	plasma membrane	Reactome DB_ID: 400679	Complex5	
Complex6	Sema4D:pPlexin-B1:Met:RAC1-GTP	plasma membrane	Reactome DB_ID: 400679	Complex3	
Complex60	Nrp-1:PlexinA:Fyn:Cdk5:pCRMP's (S522,S518,T509,T514)	plasma membrane	Reactome DB_ID: 399853	Complex61	
Complex60	Nrp-1:PlexinA:Fyn:Cdk5:pCRMP's (S522,S518,T509,T514)	plasma membrane	Reactome DB_ID: 399853	Protein43	
Complex61	PlexinA1-4:FYN:CDK5:p-CRMPs (S522,S518,T509,T514)	plasma membrane	Reactome DB_ID: 399851	Complex62	
Complex61	PlexinA1-4:FYN:CDK5:p-CRMPs (S522,S518,T509,T514)	plasma membrane	Reactome DB_ID: 399851	Complex52	
Complex61	PlexinA1-4:FYN:CDK5:p-CRMPs (S522,S518,T509,T514)	plasma membrane	Reactome DB_ID: 399851	Protein46	
Complex62	pCRMP's tetramers (S522,S518,T509,T514)	cytosol	Reactome DB_ID: 399848	Protein87	
Complex63	Sema3A:NP-1:Plexin-A:Fes:CRMP	plasma membrane	Reactome DB_ID: 399860	Complex64	
Complex63	Sema3A:NP-1:Plexin-A:Fes:CRMP	plasma membrane	Reactome DB_ID: 399860	Complex31	
Complex64	pCRMP's tertramers (Y499)	cytosol	Reactome DB_ID: 399863	Protein92	
Complex65	SEMA3A:PLXND1	plasma membrane	Reactome DB_ID: 209639	Protein98	
Complex65	SEMA3A:PLXND1	plasma membrane	Reactome DB_ID: 209639	Protein99	
Complex66	SEMA4A:PLXND1	plasma membrane	Reactome DB_ID: 416694	Protein98	
Complex66	SEMA4A:PLXND1	plasma membrane	Reactome DB_ID: 416694	Protein100	
Complex67	SEMA4D:PTPRC	plasma membrane	Reactome DB_ID: 373689	Protein1	
Complex67	SEMA4D:PTPRC	plasma membrane	Reactome DB_ID: 373689	Protein101	
Complex68	SEMA4D:CD72	plasma membrane	Reactome DB_ID: 373697	Protein1	
Complex68	SEMA4D:CD72	plasma membrane	Reactome DB_ID: 373697	Protein102	
Complex69	SEMA5A:PLXNB3	plasma membrane	Reactome DB_ID: 416696	Protein103	
Complex69	SEMA5A:PLXNB3	plasma membrane	Reactome DB_ID: 416696	Protein104	
Complex7	Rnd1-GTP	cytosol	Reactome DB_ID: 421104	SmallMolecule3	
Complex7	Rnd1-GTP	cytosol	Reactome DB_ID: 421104	Protein6	
Complex70	SEMA6A:PLXNA2,PLXNA4	plasma membrane	Reactome DB_ID: 416728	Protein105	
Complex70	SEMA6A:PLXNA2,PLXNA4	plasma membrane	Reactome DB_ID: 416728	Protein106	
Complex71	PLXNA1:TREM2:DAP12	plasma membrane	Reactome DB_ID: 416707	Complex72	
Complex71	PLXNA1:TREM2:DAP12	plasma membrane	Reactome DB_ID: 416707	Protein47	
Complex72	DAP12:TRIM2	plasma membrane	Reactome DB_ID: 210245	Protein107	
Complex72	DAP12:TRIM2	plasma membrane	Reactome DB_ID: 210245	Complex73	
Complex73	DAP12 dimer	plasma membrane	Reactome DB_ID: 548940	Protein108	
Complex74	SEMA6D:PLXNA1:TREM2:DAP12	plasma membrane	Reactome DB_ID: 416720	Complex71	
Complex74	SEMA6D:PLXNA1:TREM2:DAP12	plasma membrane	Reactome DB_ID: 416720	Protein109	
Complex75	SEMA7A:PLXNC1	plasma membrane	Reactome DB_ID: 434928	Protein110	
Complex75	SEMA7A:PLXNC1	plasma membrane	Reactome DB_ID: 434928	Protein111	
Complex76	Integrin alpha1beta1	plasma membrane	Reactome DB_ID: 215982	Protein112	
Complex76	Integrin alpha1beta1	plasma membrane	Reactome DB_ID: 215982	Protein113	
Complex77	SEMA7A:Integrin alpha1beta1	plasma membrane	Reactome DB_ID: 434927	Complex76	
Complex77	SEMA7A:Integrin alpha1beta1	plasma membrane	Reactome DB_ID: 434927	Protein110	
Complex8	Sema4D:pPlexin-B1:Met:Rnd1	plasma membrane	Reactome DB_ID: 416587	Complex7	
Complex8	Sema4D:pPlexin-B1:Met:Rnd1	plasma membrane	Reactome DB_ID: 416587	Complex3	
Complex9	R-Ras-GTP	plasma membrane	Reactome DB_ID: 399865	SmallMolecule4	
Complex9	R-Ras-GTP	plasma membrane	Reactome DB_ID: 399865	Protein7	
