Protein68	MagT1/2	plasma membrane	Reactome DB_ID: 442654	Protein70	
Protein7	GLUT7/11	plasma membrane	Reactome DB_ID: 429107	Protein8	
Protein7	GLUT7/11	plasma membrane	Reactome DB_ID: 429107	Protein9	
Protein71	SLC6A GABA transporters	plasma membrane	Reactome DB_ID: 444011	Protein72	
Protein71	SLC6A GABA transporters	plasma membrane	Reactome DB_ID: 444011	Protein73	
Protein71	SLC6A GABA transporters	plasma membrane	Reactome DB_ID: 444011	Protein74	
Protein76	OCT2	plasma membrane	Reactome DB_ID: 2901780	Protein77	
Protein76	OCT2	plasma membrane	Reactome DB_ID: 2901780	Protein78	
Protein81	GLYT	plasma membrane	Reactome DB_ID: 444088	Protein82	
Protein81	GLYT	plasma membrane	Reactome DB_ID: 444088	Protein83	
Protein88	VMAT1/2	clathrin-sculpted monoamine transport vesicle membrane	Reactome DB_ID: 444147	Protein89	
Protein88	VMAT1/2	clathrin-sculpted monoamine transport vesicle membrane	Reactome DB_ID: 444147	Protein90	
Protein95	Urea transporters	plasma membrane	Reactome DB_ID: 444114	Protein96	
Protein95	Urea transporters	plasma membrane	Reactome DB_ID: 444114	Protein97	
SmallMolecule10	hexoses transported by GLUT7/11	cytosol	Reactome DB_ID: 428802	SmallMolecule4	
SmallMolecule10	hexoses transported by GLUT7/11	cytosol	Reactome DB_ID: 428802	SmallMolecule2	
SmallMolecule11	compounds transported by GLUT9	extracellular region	Reactome DB_ID: 429078	SmallMolecule7	
SmallMolecule11	compounds transported by GLUT9	extracellular region	Reactome DB_ID: 429078	SmallMolecule1	
SmallMolecule11	compounds transported by GLUT9	extracellular region	Reactome DB_ID: 429078	SmallMolecule12	
SmallMolecule110	ligands of SLC6A6	extracellular region	Reactome DB_ID: 352024	SmallMolecule95	
SmallMolecule110	ligands of SLC6A6	extracellular region	Reactome DB_ID: 352024	SmallMolecule111	
SmallMolecule112	ligands of SLC6A6	cytosol	Reactome DB_ID: 352019	SmallMolecule99	
SmallMolecule112	ligands of SLC6A6	cytosol	Reactome DB_ID: 352019	SmallMolecule113	
SmallMolecule116	ligands of SLC6A14	extracellular region	Reactome DB_ID: 375468	SmallMolecule117	
SmallMolecule116	ligands of SLC6A14	extracellular region	Reactome DB_ID: 375468	SmallMolecule118	
SmallMolecule116	ligands of SLC6A14	extracellular region	Reactome DB_ID: 375468	SmallMolecule119	
