BiochemicalReaction5	Activated TAK1 phosphorylates MKK4/MKK7	SmallMolecule1	Protein63	
BiochemicalReaction6	Phosphorylation of human JNKs by activated MKK4/MKK7	Protein66	SmallMolecule2	
BiochemicalReaction6	Phosphorylation of human JNKs by activated MKK4/MKK7	SmallMolecule1	SmallMolecule2	
BiochemicalReaction6	Phosphorylation of human JNKs by activated MKK4/MKK7	SmallMolecule1	Protein70	
BiochemicalReaction6	Phosphorylation of human JNKs by activated MKK4/MKK7	Protein66	Protein70	
BiochemicalReaction7	Activated human JNKs migrate to nucleoplasm	Protein70	Protein74	
BiochemicalReaction8	activated human TAK1 phosphorylates MKK3/MKK6	Protein78	Protein81	
BiochemicalReaction8	activated human TAK1 phosphorylates MKK3/MKK6	SmallMolecule1	Protein81	
BiochemicalReaction8	activated human TAK1 phosphorylates MKK3/MKK6	SmallMolecule1	SmallMolecule2	
BiochemicalReaction8	activated human TAK1 phosphorylates MKK3/MKK6	Protein78	SmallMolecule2	
BiochemicalReaction9	Phosphorylated MKK3/MKK6 migrates to nucleus	Protein81	Protein84	
