Protein1143	class I MHC B42	UniProt:P30480 HLA-B	Reactome DB_ID: 1236809	phagocytic vesicle membrane	
Protein1144	class I MHC B44	UniProt:P30481 HLA-B	Reactome DB_ID: 1236886	phagocytic vesicle membrane	
Protein1145	class I MHC B45	UniProt:P30483 HLA-B	Reactome DB_ID: 1236758	phagocytic vesicle membrane	
Protein1146	class I MHC B46	UniProt:P30484 HLA-B	Reactome DB_ID: 1236825	phagocytic vesicle membrane	
Protein1147	class I MHC B47	UniProt:P30485 HLA-B	Reactome DB_ID: 1236747	phagocytic vesicle membrane	
Protein1148	class I MHC B49	UniProt:P30487 HLA-B	Reactome DB_ID: 1236874	phagocytic vesicle membrane	
Protein1149	class I MHC B50	UniProt:P30488 HLA-B	Reactome DB_ID: 1236805	phagocytic vesicle membrane	
Protein115	p-Y191-CD28	UniProt:P10747 CD28	Reactome DB_ID: 388756	plasma membrane	
Protein1150	class I MHC B51	UniProt:P18464 HLA-B	Reactome DB_ID: 1236815	phagocytic vesicle membrane	
Protein1151	class I MHC B52	UniProt:P30490 HLA-B	Reactome DB_ID: 1236739	phagocytic vesicle membrane	
Protein1152	class I MHC B53	UniProt:P30491 HLA-B	Reactome DB_ID: 1236796	phagocytic vesicle membrane	
Protein1153	class I MHC B54	UniProt:P30492 HLA-B	Reactome DB_ID: 1236791	phagocytic vesicle membrane	
Protein1154	class I MHC B55	UniProt:P30493 HLA-B	Reactome DB_ID: 1236752	phagocytic vesicle membrane	
Protein1155	class I MHC B56	UniProt:P30495 HLA-B	Reactome DB_ID: 1236789	phagocytic vesicle membrane	
Protein1156	class I MHC B57	UniProt:P18465 HLA-B	Reactome DB_ID: 1236766	phagocytic vesicle membrane	
Protein1157	class I MHC B58	UniProt:P10319 HLA-B	Reactome DB_ID: 1236829	phagocytic vesicle membrane	
Protein1158	class I MHC B59	UniProt:Q29940 HLA-B	Reactome DB_ID: 1236745	phagocytic vesicle membrane	
Protein1159	class I MHC B67	UniProt:Q29836 HLA-B	Reactome DB_ID: 1236860	phagocytic vesicle membrane	
Protein1160	class I MHC B7	UniProt:P01889 HLA-B	Reactome DB_ID: 1236753	phagocytic vesicle membrane	
Protein1161	class I MHC B73	UniProt:Q31612 HLA-B	Reactome DB_ID: 1236878	phagocytic vesicle membrane	
Protein1162	class I MHC B78	UniProt:P30498 HLA-B	Reactome DB_ID: 1236801	phagocytic vesicle membrane	
