BiochemicalReaction1	Peroxisomal uptake of very long-chain fatty acyl CoA	SmallMolecule1	SmallMolecule2	
BiochemicalReaction6	tetracosenoyl-CoA + 8 O2 + 8 H2O + 8 NAD+ + 8 CoASH => octanoyl-CoA + 8 H2O2 + 8 NADH + 8 H+ + 8 acetyl-CoA	SmallMolecule9	SmallMolecule14	
BiochemicalReaction6	tetracosenoyl-CoA + 8 O2 + 8 H2O + 8 NAD+ + 8 CoASH => octanoyl-CoA + 8 H2O2 + 8 NADH + 8 H+ + 8 acetyl-CoA	SmallMolecule3	SmallMolecule14	
BiochemicalReaction6	tetracosenoyl-CoA + 8 O2 + 8 H2O + 8 NAD+ + 8 CoASH => octanoyl-CoA + 8 H2O2 + 8 NADH + 8 H+ + 8 acetyl-CoA	SmallMolecule13	SmallMolecule4	
BiochemicalReaction6	tetracosenoyl-CoA + 8 O2 + 8 H2O + 8 NAD+ + 8 CoASH => octanoyl-CoA + 8 H2O2 + 8 NADH + 8 H+ + 8 acetyl-CoA	SmallMolecule7	SmallMolecule4	
BiochemicalReaction6	tetracosenoyl-CoA + 8 O2 + 8 H2O + 8 NAD+ + 8 CoASH => octanoyl-CoA + 8 H2O2 + 8 NADH + 8 H+ + 8 acetyl-CoA	SmallMolecule15	SmallMolecule4	
BiochemicalReaction6	tetracosenoyl-CoA + 8 O2 + 8 H2O + 8 NAD+ + 8 CoASH => octanoyl-CoA + 8 H2O2 + 8 NADH + 8 H+ + 8 acetyl-CoA	SmallMolecule9	SmallMolecule4	
BiochemicalReaction6	tetracosenoyl-CoA + 8 O2 + 8 H2O + 8 NAD+ + 8 CoASH => octanoyl-CoA + 8 H2O2 + 8 NADH + 8 H+ + 8 acetyl-CoA	SmallMolecule3	SmallMolecule4	
BiochemicalReaction6	tetracosenoyl-CoA + 8 O2 + 8 H2O + 8 NAD+ + 8 CoASH => octanoyl-CoA + 8 H2O2 + 8 NADH + 8 H+ + 8 acetyl-CoA	SmallMolecule13	SmallMolecule12	
BiochemicalReaction6	tetracosenoyl-CoA + 8 O2 + 8 H2O + 8 NAD+ + 8 CoASH => octanoyl-CoA + 8 H2O2 + 8 NADH + 8 H+ + 8 acetyl-CoA	SmallMolecule7	SmallMolecule12	
BiochemicalReaction6	tetracosenoyl-CoA + 8 O2 + 8 H2O + 8 NAD+ + 8 CoASH => octanoyl-CoA + 8 H2O2 + 8 NADH + 8 H+ + 8 acetyl-CoA	SmallMolecule15	SmallMolecule12	
BiochemicalReaction6	tetracosenoyl-CoA + 8 O2 + 8 H2O + 8 NAD+ + 8 CoASH => octanoyl-CoA + 8 H2O2 + 8 NADH + 8 H+ + 8 acetyl-CoA	SmallMolecule9	SmallMolecule12	
BiochemicalReaction6	tetracosenoyl-CoA + 8 O2 + 8 H2O + 8 NAD+ + 8 CoASH => octanoyl-CoA + 8 H2O2 + 8 NADH + 8 H+ + 8 acetyl-CoA	SmallMolecule3	SmallMolecule12	
BiochemicalReaction7	acetyl-CoA + carnitine => acetylcarnitine + CoASH	SmallMolecule14	SmallMolecule18	
BiochemicalReaction7	acetyl-CoA + carnitine => acetylcarnitine + CoASH	SmallMolecule17	SmallMolecule18	
BiochemicalReaction7	acetyl-CoA + carnitine => acetylcarnitine + CoASH	SmallMolecule17	SmallMolecule13	
BiochemicalReaction7	acetyl-CoA + carnitine => acetylcarnitine + CoASH	SmallMolecule14	SmallMolecule13	
BiochemicalReaction8	acetyl-CoA + H2O => acetate + CoASH	SmallMolecule14	SmallMolecule19	
BiochemicalReaction8	acetyl-CoA + H2O => acetate + CoASH	SmallMolecule7	SmallMolecule19	
BiochemicalReaction8	acetyl-CoA + H2O => acetate + CoASH	SmallMolecule7	SmallMolecule13	
BiochemicalReaction8	acetyl-CoA + H2O => acetate + CoASH	SmallMolecule14	SmallMolecule13	
