PhysicalEntity1	Trichloromethyl radical	endoplasmic reticulum lumen	Reactome DB_ID: 76433	NA	
Protein30	Cytochrome P450 (CYP2A13 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222449	Protein32	
Protein30	Cytochrome P450 (CYP2A13 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222449	Protein33	
Protein30	Cytochrome P450 (CYP2A13 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222449	Protein34	
Protein30	Cytochrome P450 (CYP2A13 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222449	Protein29	
Protein30	Cytochrome P450 (CYP2A13 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222449	Protein35	
Protein36	Cytochrome P450 (CYP2B6 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219427	Protein31	
Protein36	Cytochrome P450 (CYP2B6 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219427	Protein28	
Protein36	Cytochrome P450 (CYP2B6 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219427	Protein34	
Protein36	Cytochrome P450 (CYP2B6 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219427	Protein33	
Protein36	Cytochrome P450 (CYP2B6 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219427	Protein32	
Protein36	Cytochrome P450 (CYP2B6 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219427	Protein29	
Protein36	Cytochrome P450 (CYP2B6 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219427	Protein27	
Protein36	Cytochrome P450 (CYP2B6 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219427	Protein26	
Protein36	Cytochrome P450 (CYP2B6 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219427	Protein37	
Protein36	Cytochrome P450 (CYP2B6 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219427	Protein35	
Protein38	Cytochrome P450 (CYP2C8 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3215460	Protein34	
Protein38	Cytochrome P450 (CYP2C8 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3215460	Protein31	
Protein38	Cytochrome P450 (CYP2C8 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3215460	Protein32	
Protein38	Cytochrome P450 (CYP2C8 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3215460	Protein29	
Protein38	Cytochrome P450 (CYP2C8 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3215460	Protein33	
Protein38	Cytochrome P450 (CYP2C8 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3215460	Protein39	
Protein38	Cytochrome P450 (CYP2C8 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3215460	Protein37	
Protein38	Cytochrome P450 (CYP2C8 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3215460	Protein28	
Protein38	Cytochrome P450 (CYP2C8 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3215460	Protein27	
Protein38	Cytochrome P450 (CYP2C8 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3215460	Protein26	
Protein38	Cytochrome P450 (CYP2C8 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3215460	Protein40	
Protein41	Cytochrome P450 (CYP2C9 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219414	Protein33	
Protein41	Cytochrome P450 (CYP2C9 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219414	Protein32	
Protein41	Cytochrome P450 (CYP2C9 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219414	Protein34	
Protein41	Cytochrome P450 (CYP2C9 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219414	Protein29	
Protein41	Cytochrome P450 (CYP2C9 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219414	Protein28	
Protein41	Cytochrome P450 (CYP2C9 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219414	Protein26	
Protein41	Cytochrome P450 (CYP2C9 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219414	Protein31	
Protein41	Cytochrome P450 (CYP2C9 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219414	Protein37	
Protein41	Cytochrome P450 (CYP2C9 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219414	Protein39	
Protein41	Cytochrome P450 (CYP2C9 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219414	Protein27	
Protein41	Cytochrome P450 (CYP2C9 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219414	Protein40	
Protein42	Cytochrome P450 (CYP2C18 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222327	Protein40	
Protein42	Cytochrome P450 (CYP2C18 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222327	Protein34	
Protein42	Cytochrome P450 (CYP2C18 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222327	Protein37	
Protein42	Cytochrome P450 (CYP2C18 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222327	Protein33	
Protein42	Cytochrome P450 (CYP2C18 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222327	Protein32	
Protein43	Cytochrome P450 (CYP2C19 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222363	Protein32	
Protein43	Cytochrome P450 (CYP2C19 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222363	Protein33	
Protein43	Cytochrome P450 (CYP2C19 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222363	Protein34	
Protein43	Cytochrome P450 (CYP2C19 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222363	Protein29	
Protein43	Cytochrome P450 (CYP2C19 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222363	Protein28	
Protein43	Cytochrome P450 (CYP2C19 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222363	Protein26	
Protein43	Cytochrome P450 (CYP2C19 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222363	Protein31	
Protein43	Cytochrome P450 (CYP2C19 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222363	Protein37	
Protein43	Cytochrome P450 (CYP2C19 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222363	Protein39	
Protein43	Cytochrome P450 (CYP2C19 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222363	Protein27	
Protein43	Cytochrome P450 (CYP2C19 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222363	Protein40	
Protein44	Cytochrome P450 (CYP2E1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 2990860	Protein29	
Protein44	Cytochrome P450 (CYP2E1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 2990860	Protein31	
Protein44	Cytochrome P450 (CYP2E1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 2990860	Protein32	
Protein44	Cytochrome P450 (CYP2E1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 2990860	Protein34	
Protein44	Cytochrome P450 (CYP2E1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 2990860	Protein33	
Protein44	Cytochrome P450 (CYP2E1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 2990860	Protein39	
Protein44	Cytochrome P450 (CYP2E1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 2990860	Protein37	
Protein44	Cytochrome P450 (CYP2E1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 2990860	Protein28	
Protein44	Cytochrome P450 (CYP2E1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 2990860	Protein25	
Protein44	Cytochrome P450 (CYP2E1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 2990860	Protein27	
Protein44	Cytochrome P450 (CYP2E1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 2990860	Protein26	
Protein45	Cytochrome P450 (CYP2D6 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219409	Protein39	
Protein45	Cytochrome P450 (CYP2D6 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219409	Protein35	
Protein45	Cytochrome P450 (CYP2D6 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219409	Protein34	
Protein45	Cytochrome P450 (CYP2D6 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219409	Protein46	
Protein45	Cytochrome P450 (CYP2D6 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219409	Protein29	
Protein45	Cytochrome P450 (CYP2D6 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219409	Protein32	
Protein45	Cytochrome P450 (CYP2D6 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219409	Protein33	
Protein47	Cytochrome P450 (CYP2F1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222321	Protein28	
Protein47	Cytochrome P450 (CYP2F1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222321	Protein31	
Protein47	Cytochrome P450 (CYP2F1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222321	Protein32	
Protein47	Cytochrome P450 (CYP2F1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222321	Protein34	
Protein47	Cytochrome P450 (CYP2F1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222321	Protein33	
Protein47	Cytochrome P450 (CYP2F1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222321	Protein37	
Protein47	Cytochrome P450 (CYP2F1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222321	Protein25	
Protein47	Cytochrome P450 (CYP2F1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222321	Protein27	
Protein47	Cytochrome P450 (CYP2F1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222321	Protein26	
Protein47	Cytochrome P450 (CYP2F1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222321	Protein29	
Protein47	Cytochrome P450 (CYP2F1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222321	Protein35	
Protein48	Cytochrome P450 (CYPIIIA4 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3229233	Protein49	
Protein48	Cytochrome P450 (CYPIIIA4 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3229233	Protein50	
Protein48	Cytochrome P450 (CYPIIIA4 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3229233	Protein51	
Protein48	Cytochrome P450 (CYPIIIA4 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3229233	Protein52	
Protein5	Cytochrome P450 (CYP7B1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 2975806	Protein4	
Protein5	Cytochrome P450 (CYP7B1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 2975806	Protein3	
Protein53	Cytochrome P450 (CYP3A5 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219430	Protein51	
Protein53	Cytochrome P450 (CYP3A5 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219430	Protein49	
Protein53	Cytochrome P450 (CYP3A5 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219430	Protein50	
Protein53	Cytochrome P450 (CYP3A5 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219430	Protein52	
Protein54	Cytochrome P450 (CYP3A7 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219438	Protein50	
Protein54	Cytochrome P450 (CYP3A7 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219438	Protein49	
Protein54	Cytochrome P450 (CYP3A7 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219438	Protein51	
Protein54	Cytochrome P450 (CYP3A7 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219438	Protein52	
Protein55	Cytochrome P450 (CYP2J2 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222379	Protein35	
Protein55	Cytochrome P450 (CYP2J2 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222379	Protein26	
Protein55	Cytochrome P450 (CYP2J2 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222379	Protein39	
Protein55	Cytochrome P450 (CYP2J2 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222379	Protein28	
Protein55	Cytochrome P450 (CYP2J2 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222379	Protein27	
Protein55	Cytochrome P450 (CYP2J2 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222379	Protein31	
Protein56	Cytochrome P450 (CYP4A11 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222396	Protein57	
Protein56	Cytochrome P450 (CYP4A11 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222396	Protein58	
Protein56	Cytochrome P450 (CYP4A11 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222396	Protein59	
Protein56	Cytochrome P450 (CYP4A11 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222396	Protein60	
Protein56	Cytochrome P450 (CYP4A11 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222396	Protein61	
Protein56	Cytochrome P450 (CYP4A11 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222396	Protein62	
Protein56	Cytochrome P450 (CYP4A11 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222396	Protein63	
Protein6	Cytochrome P450 (CYP8B1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3229177	Protein7	
Protein6	Cytochrome P450 (CYP8B1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3229177	Protein8	
Protein64	Cytochrome P450 (CYP4B1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219417	Protein59	
Protein64	Cytochrome P450 (CYP4B1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219417	Protein57	
Protein64	Cytochrome P450 (CYP4B1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219417	Protein58	
Protein64	Cytochrome P450 (CYP4B1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219417	Protein61	
Protein64	Cytochrome P450 (CYP4B1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219417	Protein63	
Protein64	Cytochrome P450 (CYP4B1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219417	Protein60	
Protein64	Cytochrome P450 (CYP4B1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219417	Protein62	
Protein65	Cytochrome P450 (CYP4F12 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3229155	Protein66	
Protein65	Cytochrome P450 (CYP4F12 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3229155	Protein67	
Protein65	Cytochrome P450 (CYP4F12 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3229155	Protein61	
Protein68	Cytochrome P450 (CYP4F2/4F3 based)	endoplasmic reticulum membrane	Reactome DB_ID: 2161611	Protein61	
Protein68	Cytochrome P450 (CYP4F2/4F3 based)	endoplasmic reticulum membrane	Reactome DB_ID: 2161611	Protein60	
Protein68	Cytochrome P450 (CYP4F2/4F3 based)	endoplasmic reticulum membrane	Reactome DB_ID: 2161611	Protein62	
Protein68	Cytochrome P450 (CYP4F2/4F3 based)	endoplasmic reticulum membrane	Reactome DB_ID: 2161611	Protein63	
Protein68	Cytochrome P450 (CYP4F2/4F3 based)	endoplasmic reticulum membrane	Reactome DB_ID: 2161611	Protein57	
Protein68	Cytochrome P450 (CYP4F2/4F3 based)	endoplasmic reticulum membrane	Reactome DB_ID: 2161611	Protein59	
Protein68	Cytochrome P450 (CYP4F2/4F3 based)	endoplasmic reticulum membrane	Reactome DB_ID: 2161611	Protein58	
Protein68	Cytochrome P450 (CYP4F2/4F3 based)	endoplasmic reticulum membrane	Reactome DB_ID: 2161611	Protein67	
Protein69	Cytochrome P450 (CYP4F8 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222393	Protein67	
Protein69	Cytochrome P450 (CYP4F8 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222393	Protein66	
Protein69	Cytochrome P450 (CYP4F8 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222393	Protein61	
Protein71	Cytochrome P450 (CYP8A1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222410	Protein8	
Protein71	Cytochrome P450 (CYP8A1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222410	Protein7	
Protein74	Cytochrome P450 (CYP26A1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 2901788	Protein75	
Protein74	Cytochrome P450 (CYP26A1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 2901788	Protein76	
Protein78	Cytochrome P450 (CYP26C1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222452	Protein76	
Protein78	Cytochrome P450 (CYP26C1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222452	Protein75	
Protein81	Cytochrome P450 (CYP2W1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3229080	Protein46	
Protein81	Cytochrome P450 (CYP2W1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3229080	Protein39	
Protein82	Cytochrome P450 (CYP4F11 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3229083	Protein62	
Protein82	Cytochrome P450 (CYP4F11 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3229083	Protein61	
Protein82	Cytochrome P450 (CYP4F11 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3229083	Protein60	
Protein82	Cytochrome P450 (CYP4F11 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3229083	Protein63	
Protein82	Cytochrome P450 (CYP4F11 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3229083	Protein57	
Protein82	Cytochrome P450 (CYP4F11 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3229083	Protein59	
Protein82	Cytochrome P450 (CYP4F11 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3229083	Protein58	
SmallMolecule94	cis-EET	endoplasmic reticulum lumen	Reactome DB_ID: 215062	SmallMolecule95	
SmallMolecule94	cis-EET	endoplasmic reticulum lumen	Reactome DB_ID: 215062	SmallMolecule96	
SmallMolecule94	cis-EET	endoplasmic reticulum lumen	Reactome DB_ID: 215062	SmallMolecule97	
SmallMolecule94	cis-EET	endoplasmic reticulum lumen	Reactome DB_ID: 215062	SmallMolecule98	
