Protein247	DCN	UniProt:P07585 DCN	Reactome DB_ID: 2064161	Golgi lumen	
Protein248	NCAN	UniProt:O14594 NCAN	Reactome DB_ID: 2064231	Golgi lumen	
Protein249	VCAN	UniProt:P13611 VCAN	Reactome DB_ID: 2064141	Golgi lumen	
Protein25	PAPSS2	UniProt:O95340 PAPSS2	Reactome DB_ID: 3009048	cytosol	
Protein250	B3GAT1	UniProt:Q9P2W7 B3GAT1	Reactome DB_ID: 1889953	Golgi membrane	
Protein251	B3GAT2	UniProt:Q9NPZ5 B3GAT2	Reactome DB_ID: 1889958	Golgi membrane	
Protein252	B3GAT3	UniProt:O94766 B3GAT3	Reactome DB_ID: 1889987	Golgi membrane	
Protein255	Agrin	UniProt:O00468 AGRN	Reactome DB_ID: 2076530	Golgi lumen	
Protein256	Glypican-1	UniProt:P35052 GPC1	Reactome DB_ID: 2076567	Golgi lumen	
Protein257	GPC2	UniProt:Q8N158 GPC2	Reactome DB_ID: 2076293	Golgi lumen	
Protein258	GPC3	UniProt:P51654 GPC3	Reactome DB_ID: 2076477	Golgi lumen	
Protein259	GPC4	UniProt:O75487 GPC4	Reactome DB_ID: 2076475	Golgi lumen	
Protein260	GPC5	UniProt:P78333 GPC5	Reactome DB_ID: 2076472	Golgi lumen	
Protein261	GPC6	UniProt:Q9Y625 GPC6	Reactome DB_ID: 2076534	Golgi lumen	
Protein262	Perlecan	UniProt:P98160 HSPG2	Reactome DB_ID: 2076367	Golgi lumen	
Protein263	syndecan 1	UniProt:P18827 SDC1	Reactome DB_ID: 2076561	Golgi lumen	
Protein264	HSPG	UniProt:P34741 SDC2	Reactome DB_ID: 2076608	Golgi lumen	
Protein265	SDC3	UniProt:O75056 SDC3	Reactome DB_ID: 2076462	Golgi lumen	
Protein266	SDC4	UniProt:P31431 SDC4	Reactome DB_ID: 2076374	Golgi lumen	
Protein267	EXT1	UniProt:Q16394 EXT1	Reactome DB_ID: 2022897	Golgi membrane	
Protein268	EXT2	UniProt:Q93063 EXT2	Reactome DB_ID: 2022888	Golgi membrane	
Protein27	PAPST1	UniProt:Q8TB61 SLC35B2	Reactome DB_ID: 741454	Golgi membrane	
Protein270	AGRN	UniProt:O00468 AGRN	Reactome DB_ID: 2076317	Golgi lumen	
Protein271	GPC1	UniProt:P35052 GPC1	Reactome DB_ID: 2076476	Golgi lumen	
