Protein23	E2 Ubiquitin-conjugating enzyme	cytosol	Reactome DB_ID: 947628	Protein50	
Protein23	E2 Ubiquitin-conjugating enzyme	cytosol	Reactome DB_ID: 947628	Protein51	
Protein23	E2 Ubiquitin-conjugating enzyme	cytosol	Reactome DB_ID: 947628	Protein52	
Protein23	E2 Ubiquitin-conjugating enzyme	cytosol	Reactome DB_ID: 947628	Protein53	
Protein23	E2 Ubiquitin-conjugating enzyme	cytosol	Reactome DB_ID: 947628	Protein54	
Protein23	E2 Ubiquitin-conjugating enzyme	cytosol	Reactome DB_ID: 947628	Protein55	
Protein99	F-box proteins	cytosol	Reactome DB_ID: 976085	Protein100	
Protein99	F-box proteins	cytosol	Reactome DB_ID: 976085	Protein101	
Protein99	F-box proteins	cytosol	Reactome DB_ID: 976085	Protein102	
Protein99	F-box proteins	cytosol	Reactome DB_ID: 976085	Protein103	
Protein99	F-box proteins	cytosol	Reactome DB_ID: 976085	Protein104	
Protein99	F-box proteins	cytosol	Reactome DB_ID: 976085	Protein105	
Protein99	F-box proteins	cytosol	Reactome DB_ID: 976085	Protein106	
Protein99	F-box proteins	cytosol	Reactome DB_ID: 976085	Protein107	
SmallMolecule5	L-Amino Acids	cytosol	Reactome DB_ID: 400144	SmallMolecule6	
SmallMolecule5	L-Amino Acids	cytosol	Reactome DB_ID: 400144	SmallMolecule7	
SmallMolecule5	L-Amino Acids	cytosol	Reactome DB_ID: 400144	SmallMolecule8	
SmallMolecule5	L-Amino Acids	cytosol	Reactome DB_ID: 400144	SmallMolecule9	
SmallMolecule5	L-Amino Acids	cytosol	Reactome DB_ID: 400144	SmallMolecule10	
SmallMolecule5	L-Amino Acids	cytosol	Reactome DB_ID: 400144	SmallMolecule11	
SmallMolecule5	L-Amino Acids	cytosol	Reactome DB_ID: 400144	SmallMolecule12	
SmallMolecule5	L-Amino Acids	cytosol	Reactome DB_ID: 400144	SmallMolecule13	
SmallMolecule5	L-Amino Acids	cytosol	Reactome DB_ID: 400144	SmallMolecule14	
SmallMolecule5	L-Amino Acids	cytosol	Reactome DB_ID: 400144	SmallMolecule15	
SmallMolecule5	L-Amino Acids	cytosol	Reactome DB_ID: 400144	SmallMolecule16	
SmallMolecule5	L-Amino Acids	cytosol	Reactome DB_ID: 400144	SmallMolecule17	
SmallMolecule5	L-Amino Acids	cytosol	Reactome DB_ID: 400144	SmallMolecule18	
SmallMolecule5	L-Amino Acids	cytosol	Reactome DB_ID: 400144	SmallMolecule19	
SmallMolecule5	L-Amino Acids	cytosol	Reactome DB_ID: 400144	SmallMolecule20	
SmallMolecule5	L-Amino Acids	cytosol	Reactome DB_ID: 400144	SmallMolecule21	
SmallMolecule5	L-Amino Acids	cytosol	Reactome DB_ID: 400144	SmallMolecule22	
SmallMolecule5	L-Amino Acids	cytosol	Reactome DB_ID: 400144	SmallMolecule23	
SmallMolecule5	L-Amino Acids	cytosol	Reactome DB_ID: 400144	SmallMolecule24	
SmallMolecule5	L-Amino Acids	cytosol	Reactome DB_ID: 400144	SmallMolecule25	
