Protein153	Cleaved collagen alpha-1(XII) chains	extracellular region	Reactome DB_ID: 2470720	Protein163	
Protein153	Cleaved collagen alpha-1(XII) chains	extracellular region	Reactome DB_ID: 2470720	Protein164	
Protein153	Cleaved collagen alpha-1(XII) chains	extracellular region	Reactome DB_ID: 2470720	Protein165	
Protein153	Cleaved collagen alpha-1(XII) chains	extracellular region	Reactome DB_ID: 2470720	Protein166	
Protein153	Cleaved collagen alpha-1(XII) chains	extracellular region	Reactome DB_ID: 2470720	Protein167	
Protein153	Cleaved collagen alpha-1(XII) chains	extracellular region	Reactome DB_ID: 2470720	Protein168	
Protein153	Cleaved collagen alpha-1(XII) chains	extracellular region	Reactome DB_ID: 2470720	Protein169	
Protein153	Cleaved collagen alpha-1(XII) chains	extracellular region	Reactome DB_ID: 2470720	Protein170	
Protein153	Cleaved collagen alpha-1(XII) chains	extracellular region	Reactome DB_ID: 2470720	Protein171	
Protein153	Cleaved collagen alpha-1(XII) chains	extracellular region	Reactome DB_ID: 2470720	Protein172	
Protein153	Cleaved collagen alpha-1(XII) chains	extracellular region	Reactome DB_ID: 2470720	Protein173	
Protein153	Cleaved collagen alpha-1(XII) chains	extracellular region	Reactome DB_ID: 2470720	Protein174	
Protein153	Cleaved collagen alpha-1(XII) chains	extracellular region	Reactome DB_ID: 2470720	Protein175	
Protein153	Cleaved collagen alpha-1(XII) chains	extracellular region	Reactome DB_ID: 2470720	Protein176	
Protein153	Cleaved collagen alpha-1(XII) chains	extracellular region	Reactome DB_ID: 2470720	Protein177	
Protein17	MMP2,9,10	extracellular region	Reactome DB_ID: 2470195	Protein13	
Protein17	MMP2,9,10	extracellular region	Reactome DB_ID: 2470195	Protein5	
Protein17	MMP2,9,10	extracellular region	Reactome DB_ID: 2470195	Protein12	
Protein178	Collagen alpha-1(XIV) chains	extracellular region	Reactome DB_ID: 2192781	Protein179	
Protein178	Collagen alpha-1(XIV) chains	extracellular region	Reactome DB_ID: 2192781	Protein180	
Protein178	Collagen alpha-1(XIV) chains	extracellular region	Reactome DB_ID: 2192781	Protein181	
Protein178	Collagen alpha-1(XIV) chains	extracellular region	Reactome DB_ID: 2192781	Protein182	
Protein178	Collagen alpha-1(XIV) chains	extracellular region	Reactome DB_ID: 2192781	Protein183	
Protein178	Collagen alpha-1(XIV) chains	extracellular region	Reactome DB_ID: 2192781	Protein184	
Protein178	Collagen alpha-1(XIV) chains	extracellular region	Reactome DB_ID: 2192781	Protein185	
Protein178	Collagen alpha-1(XIV) chains	extracellular region	Reactome DB_ID: 2192781	Protein186	
Protein178	Collagen alpha-1(XIV) chains	extracellular region	Reactome DB_ID: 2192781	Protein187	
Protein178	Collagen alpha-1(XIV) chains	extracellular region	Reactome DB_ID: 2192781	Protein188	
Protein178	Collagen alpha-1(XIV) chains	extracellular region	Reactome DB_ID: 2192781	Protein189	
Protein178	Collagen alpha-1(XIV) chains	extracellular region	Reactome DB_ID: 2192781	Protein190	
Protein18	MMP2,9,11	extracellular region	Reactome DB_ID: 2470215	Protein19	
Protein18	MMP2,9,11	extracellular region	Reactome DB_ID: 2470215	Protein5	
Protein18	MMP2,9,11	extracellular region	Reactome DB_ID: 2470215	Protein12	
