Protein83	IGF2R	UniProt:P11717 IGF2R	Reactome DB_ID: 434213	cytoplasmic vesicle membrane	
Protein84	NECAP1	UniProt:Q8NC96 NECAP1	Reactome DB_ID: 434218	cytoplasmic vesicle membrane	
Protein85	SNX2	UniProt:O60749 SNX2	Reactome DB_ID: 434216	cytoplasmic vesicle membrane	
Protein86	SORT1	UniProt:Q99523 SORT1	Reactome DB_ID: 434221	cytoplasmic vesicle membrane	
Protein87	YIPF6	UniProt:Q96EC8 YIPF6	Reactome DB_ID: 434199	cytoplasmic vesicle membrane	
Protein88	RAB5C	UniProt:P51148 RAB5C	Reactome DB_ID: 434198	cytoplasmic vesicle membrane	
Protein89	SNX5	UniProt:Q9Y5X3 SNX5	Reactome DB_ID: 434207	cytoplasmic vesicle membrane	
Protein9	VAMP2	UniProt:P63027 VAMP2	Reactome DB_ID: 375436	cytoplasmic vesicle membrane	
Protein90	GAK	UniProt:O14976 GAK	Reactome DB_ID: 434203	cytoplasmic vesicle membrane	
Protein91	HIP1R	UniProt:O75146 HIP1R	Reactome DB_ID: 434201	cytoplasmic vesicle membrane	
Protein92	SNAPIN	UniProt:O95295 SNAPIN	Reactome DB_ID: 434204	cytoplasmic vesicle membrane	
Protein93	AP3B1	UniProt:O00203 AP3B1	Reactome DB_ID: 434197	cytoplasmic vesicle membrane	
Protein94	TFRC	UniProt:P02786 TFRC	Reactome DB_ID: 434196	cytoplasmic vesicle membrane	
Protein95	AP3S1	UniProt:Q92572 AP3S1	Reactome DB_ID: 434205	cytoplasmic vesicle membrane	
Protein96	AP4E1	UniProt:Q9UPM8 AP4E1	Reactome DB_ID: 434209	cytoplasmic vesicle membrane	
Protein97	AP4B1	UniProt:Q9Y6B7 AP4B1	Reactome DB_ID: 434200	cytoplasmic vesicle membrane	
Protein98	AP1G1	UniProt:O43747 AP1G1	Reactome DB_ID: 351194	cytoplasmic vesicle membrane	
