PhysicalEntity1	BAP31 oligomer	integral to lumenal side of endoplasmic reticulum membrane	Reactome DB_ID: 983323	NA	
Protein105	Class I MHC heavy chain (MHC HC)	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983408	Protein112	
Protein105	Class I MHC heavy chain (MHC HC)	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983408	Protein113	
Protein105	Class I MHC heavy chain (MHC HC)	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983408	Protein114	
Protein105	Class I MHC heavy chain (MHC HC)	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983408	Protein115	
Protein105	Class I MHC heavy chain (MHC HC)	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983408	Protein116	
Protein105	Class I MHC heavy chain (MHC HC)	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983408	Protein117	
Protein105	Class I MHC heavy chain (MHC HC)	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983408	Protein118	
Protein105	Class I MHC heavy chain (MHC HC)	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983408	Protein119	
Protein105	Class I MHC heavy chain (MHC HC)	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983408	Protein120	
Protein105	Class I MHC heavy chain (MHC HC)	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983408	Protein121	
Protein105	Class I MHC heavy chain (MHC HC)	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983408	Protein122	
Protein105	Class I MHC heavy chain (MHC HC)	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983408	Protein123	
Protein105	Class I MHC heavy chain (MHC HC)	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983408	Protein124	
Protein105	Class I MHC heavy chain (MHC HC)	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983408	Protein125	
Protein105	Class I MHC heavy chain (MHC HC)	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983408	Protein126	
Protein105	Class I MHC heavy chain (MHC HC)	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983408	Protein127	
Protein105	Class I MHC heavy chain (MHC HC)	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983408	Protein128	
Protein105	Class I MHC heavy chain (MHC HC)	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983408	Protein129	
Protein105	Class I MHC heavy chain (MHC HC)	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983408	Protein130	
Protein105	Class I MHC heavy chain (MHC HC)	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983408	Protein131	
Protein105	Class I MHC heavy chain (MHC HC)	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983408	Protein132	
Protein105	Class I MHC heavy chain (MHC HC)	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983408	Protein133	
Protein105	Class I MHC heavy chain (MHC HC)	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983408	Protein134	
Protein105	Class I MHC heavy chain (MHC HC)	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983408	Protein135	
Protein105	Class I MHC heavy chain (MHC HC)	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983408	Protein136	
Protein105	Class I MHC heavy chain (MHC HC)	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983408	Protein137	
Protein105	Class I MHC heavy chain (MHC HC)	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983408	Protein138	
Protein105	Class I MHC heavy chain (MHC HC)	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983408	Protein139	
Protein105	Class I MHC heavy chain (MHC HC)	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983408	Protein140	
Protein105	Class I MHC heavy chain (MHC HC)	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983408	Protein141	
Protein105	Class I MHC heavy chain (MHC HC)	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983408	Protein142	
Protein105	Class I MHC heavy chain (MHC HC)	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983408	Protein143	
Protein105	Class I MHC heavy chain (MHC HC)	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983408	Protein144	
Protein105	Class I MHC heavy chain (MHC HC)	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983408	Protein145	
Protein105	Class I MHC heavy chain (MHC HC)	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983408	Protein146	
Protein105	Class I MHC heavy chain (MHC HC)	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983408	Protein147	
Protein105	Class I MHC heavy chain (MHC HC)	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983408	Protein148	
Protein105	Class I MHC heavy chain (MHC HC)	ER to Golgi transport vesicle membrane	Reactome DB_ID: 983408	Protein149	
