PhysicalEntity1	Sodium dependent Serotonin transporter	plasma membrane	Reactome DB_ID: 380618	NA	
SmallMolecule74	ligands of SLC6A19	cytosol	Reactome DB_ID: 375481	SmallMolecule41	
SmallMolecule74	ligands of SLC6A19	cytosol	Reactome DB_ID: 375481	SmallMolecule58	
SmallMolecule74	ligands of SLC6A19	cytosol	Reactome DB_ID: 375481	SmallMolecule44	
SmallMolecule74	ligands of SLC6A19	cytosol	Reactome DB_ID: 375481	SmallMolecule45	
SmallMolecule74	ligands of SLC6A19	cytosol	Reactome DB_ID: 375481	SmallMolecule47	
SmallMolecule74	ligands of SLC6A19	cytosol	Reactome DB_ID: 375481	SmallMolecule75	
SmallMolecule74	ligands of SLC6A19	cytosol	Reactome DB_ID: 375481	SmallMolecule76	
SmallMolecule74	ligands of SLC6A19	cytosol	Reactome DB_ID: 375481	SmallMolecule77	
SmallMolecule74	ligands of SLC6A19	cytosol	Reactome DB_ID: 375481	SmallMolecule48	
SmallMolecule74	ligands of SLC6A19	cytosol	Reactome DB_ID: 375481	SmallMolecule49	
SmallMolecule74	ligands of SLC6A19	cytosol	Reactome DB_ID: 375481	SmallMolecule50	
