BiochemicalReaction24	2xPDXK:2xZn2+ phosphorylates PXL	SmallMolecule18	SmallMolecule43	
BiochemicalReaction24	2xPDXK:2xZn2+ phosphorylates PXL	SmallMolecule42	SmallMolecule43	
BiochemicalReaction25	Pyridoxamine is phosphorylated	SmallMolecule45	SmallMolecule23	
BiochemicalReaction25	Pyridoxamine is phosphorylated	SmallMolecule18	SmallMolecule23	
BiochemicalReaction25	Pyridoxamine is phosphorylated	SmallMolecule18	SmallMolecule46	
BiochemicalReaction25	Pyridoxamine is phosphorylated	SmallMolecule45	SmallMolecule46	
BiochemicalReaction26	Pyridoxine is phosphorylated	SmallMolecule47	SmallMolecule23	
BiochemicalReaction26	Pyridoxine is phosphorylated	SmallMolecule18	SmallMolecule23	
BiochemicalReaction26	Pyridoxine is phosphorylated	SmallMolecule18	SmallMolecule48	
BiochemicalReaction26	Pyridoxine is phosphorylated	SmallMolecule47	SmallMolecule48	
BiochemicalReaction27	2xPNPO:2xFMN oxidizes PXAP to PXLP	SmallMolecule46	SmallMolecule50	
BiochemicalReaction27	2xPNPO:2xFMN oxidizes PXAP to PXLP	SmallMolecule49	SmallMolecule50	
BiochemicalReaction27	2xPNPO:2xFMN oxidizes PXAP to PXLP	SmallMolecule24	SmallMolecule50	
BiochemicalReaction27	2xPNPO:2xFMN oxidizes PXAP to PXLP	SmallMolecule24	SmallMolecule43	
BiochemicalReaction27	2xPNPO:2xFMN oxidizes PXAP to PXLP	SmallMolecule49	SmallMolecule43	
BiochemicalReaction27	2xPNPO:2xFMN oxidizes PXAP to PXLP	SmallMolecule46	SmallMolecule43	
BiochemicalReaction27	2xPNPO:2xFMN oxidizes PXAP to PXLP	SmallMolecule24	SmallMolecule51	
BiochemicalReaction27	2xPNPO:2xFMN oxidizes PXAP to PXLP	SmallMolecule49	SmallMolecule51	
BiochemicalReaction27	2xPNPO:2xFMN oxidizes PXAP to PXLP	SmallMolecule46	SmallMolecule51	
BiochemicalReaction28	2xPNPO:2xFMN oxidizes PDXP to PXLP	SmallMolecule49	SmallMolecule50	
BiochemicalReaction28	2xPNPO:2xFMN oxidizes PDXP to PXLP	SmallMolecule48	SmallMolecule50	
BiochemicalReaction28	2xPNPO:2xFMN oxidizes PDXP to PXLP	SmallMolecule48	SmallMolecule43	
BiochemicalReaction28	2xPNPO:2xFMN oxidizes PDXP to PXLP	SmallMolecule49	SmallMolecule43	
BiochemicalReaction29	AOX1 oxidises PXL to PDXate	SmallMolecule42	SmallMolecule50	
BiochemicalReaction29	AOX1 oxidises PXL to PDXate	SmallMolecule49	SmallMolecule50	
